id|img|name|price|vat|amount|height|width|depth|weight|describe|cat
1|https://images.obi.pl/product/PL/932x365/642226_1.jpg|Einhell Akumulator 18 V PXC 5,2 Ah|259.0|1|58|16.5|8.2|8.2||Akumulator z serii Power X-Change firmy Einhell to zaawansowana technologia zapewnia zwiększoną wydajność: jeszcze większą wydajność, jeszcze większą wytrzymałość, co oszczędza czas i pieniądze. System baterii może być używany do wszystkich urządzeń z serii Power X-Change.|elektronarzedzia
2|https://images.obi.pl/product/PL/932x365/692315_1.jpg|Ryobi Akumulator RB18L50, 5Ah|399.0|1|37|15.0|5.0|8.5|840|Ryobi Akumulator RB18L50, 5Ah  Akumulator Lithium+ 5,0 Ah marki Ryobi należy do bogatej rodziny narzędzi akumulatorowych w systemie Lithium+ przeznaczonych do domu i ogrodu. W porównaniu do poprzednich generacji akumulator RB18L40 oferuje znacznie wyższą moc, zdecydowanie dłuższy czas pracy i większą trwałość. Wytrzymała konstrukcja zapewnia ochronę przed uszkodzeniem i długi okres użytkowania. Akumulator posiada 4-stopniowy wskaźnik naładowania, informujący o pozostałej do wykorzystania rezerwie energii (100%, 75%, 50%, 255), ponadto nowoczesna technologia IntelliCell monitoruje i balansuje poszczególne ogniwa, które wydłużajają czas pracy akumulatora, przechowywania i zwiekszająca jego bezpieczeństwo. Akumulator umożliwia wkręcenie do 15500 wkrętów o wymiarach 4x32mm (w tym celu należy oddzielnie dokupić wiertarko-wkrętarkę R18DD3).  Brak ładowarki w zestawie.  Specyfikacja techniczna  Napięcie/Moc: 18V Pojemność akumulatora 5,0 Ah|elektronarzedzia
3|https://images.obi.pl/product/PL/932x365/674614_1.jpg|4Garden Akumulator 20V 4Ah|159.0|1|44|7.0|75.0|12.5|650|4Garden Akumulator 20V 4Ah|elektronarzedzia
4|https://images.obi.pl/product/PL/932x365/641509_1.jpg,https://images.obi.pl/product/PL/932x365/641509_2.jpg,https://assets.obi.de/skin/a94dcb7/images/blind.gif|LUX-Tools Akumulator 20V 2Ah|119.0|1|16|||||LUX-Tools Akumulator 20V 2Ah Lekki akumulator litowo-jonowy LUX-Tools o napięciu akumulatora 20V, pojemności akumulatora 2Ah i czasie ładowania do 60 minut (za pomocą standardowej ładowarki). Akumulator posiada 4-stopniowy wyświetlacz LED informujący o poziomie naładowania. Zewnętrzna częśc akumulatora została częściowo pokryta gumową powierzchnią umożliwiającą lepszą przyczepność urządzenia, np. do powierzchni stołu warsztatowego, ułatwiając tym samym pracę. Bezpieczeństwo w użytkowaniu akumulatora zapewnia wskaźnik przegrzania. Akumulator przeznaczony do narzędzi z serii LUX-Tools.    Specyfikacja techniczna  Napięcie akumulatora: 20V Pojemność akumulatorowa: 2 Ah Rodzaj akumulatora: litowo-jonowy Czas ładowania: do 60 minut  Technologia litowo-jonowa Nowoczesny akumulator litowo-jonowy jest znacznie lżejszy i mniejszy, a także posiada wyjątkowo płaską konstrukcję. Ponadto wyróżnia się długą żywotnością i niskim samorozładowaniem, dzięki czemu akumulator sprawny jest nawet po dłuższych przerwach w pracy.  Power System PowerSystem LUX-Tools to linia produktów zasilanych akumulatorami tego samego typu. Dzięki takiemu rozwiązaniu istnieje możliwość dowolnej konfiguracji zestawu produktów i doboru optymalnej ilości potrzebnych akumulatorów.|elektronarzedzia
5|https://images.obi.pl/product/PL/932x365/673598_1.jpg|Einhell Akumulator Power X-Change 18V 2,5 Ah|139.0|1|97|17.8|6.0|8.4|495|Akumulator z serii Power X-Change firmy Einhell to zaawansowana technologia zapewnia zwiększoną wydajność: jeszcze większą wydajność, jeszcze większą wytrzymałość, co oszczędza czas i pieniądze. System baterii może być używany do wszystkich urządzeń z serii Power X-Change.|elektronarzedzia
6|https://images.obi.pl/product/PL/932x365/660865_1.jpg|Zestaw startowy 2,5 Ah|99.98|1|51||||900|ZESTAW STARTOWY 18V 2,5 Ah/ŁADOWARKA marki Einhell należy do bogatej rodziny narzędzi akumulatorowych w systemie Power X-Change przeznaczonych do domu i ogrodu. Zestaw składa się z akumulatora 2,5 Ah oraz szybkiej ładowarki. Dzięki unikalnej konstrukcji jego wymiary oraz waga są stosunkowo małe. Wyróżnia go nie tylko bardzo wysokiej jakości ogniwa litowo-jonowe, ale również zastosowana elektronika sterująca systemem ABS, który zapobiega m.in. przeładowaniu, przegrzaniu oraz samoczynnemu rozładowywaniu się akumulatora. System ten pozwala również naładować akumulator w bardzo krótkim czasie. Ładowarka zadba o to, żeby akumulator nie został przegrzany podczas ładowania i był ładowany odpowiednim napięciem i natężeniem prądu. Poinformuje nas o ewentualnym uszkodzeniu akumulatora, a kiedy zostanie głęboko rozładowany - spróbuje go pobudzić i przywrócić do normalnego funkcjonowania. System akumulatorowy Power Exchange to ponad 75 urządzeń pracujących na jednym typie akumulatora. Posiadając akumulator można dokupić pozostałe urządzenia w wersji SOLO - bez akumulatora i ładowarki. Dodatkowo istnieje możliwość dokupienia akumulatorów o różnej pojemności (od 2 Ah do 5,2Ah) i różnych typów ładowarek.|elektronarzedzia
7|https://images.obi.pl/product/PL/932x365/674128_1.jpg|Einhell Akumulator 18V 2,5Ah|139.0|1|66|17.8|6.0|8.4|457|Akumulator z serii Power X-Change firmy Einhell to zaawansowana technologia zapewnia zwiększoną wydajność: jeszcze większą wydajność, jeszcze większą wytrzymałość, co oszczędza czas i pieniądze. System baterii może być używany do wszystkich urządzeń z serii Power X-Change.|elektronarzedzia
8|https://images.obi.pl/product/PL/932x365/698893_1.jpg,https://images.obi.pl/product/PL/932x365/698893_2.jpg|Stanley FatMax Akumulator litowo-jonowy V20 2,0Ah 18V|179.0|1|47|5.5|12.8|9.0|300|Akumulator V20 Li-Ion 2,0Ah 18V marki Stanley FatMax  Dzięki ulepszonej technologii akumulatorów, braku efektu pamięci i minimalnemu samorozładowaniu, akumulator litowo-jonowy V20 jest gotowy do pracy, gdziekolwiek jesteś i dokądkolwiek zaprowadzi Cię praca - i będzie Ci służyć dłużej.  Zintegrowany wskaźnik umożliwia wygodne monitorowanie poziomu naładowania akumulatora.  Część nowego systemu akumulatorowego 18V STANLEY FATMAX V20 - zasilaj wszystkie narzędzia V20 wspólnym, nowym i ulepszonym akumulatorem litowo-jonowym 18V, który pozwoli Ci z łatwością wykonać pracę.|elektronarzedzia
9|https://images.obi.pl/product/PL/932x365/698894_1.jpg,https://images.obi.pl/product/PL/932x365/698894_2.jpg,https://assets.obi.de/skin/a94dcb7/images/blind.gif|Stanley FatMax Akumulator litowo-jonowy V20 4,0Ah 18V|279.0|1|95|7.8|12.5|9.0|500|Akumulator V20 Li-Ion 4,0Ah 18V marki Stanley FatMax  Dzięki ulepszonej technologii akumulatorów, braku efektu pamięci i minimalnemu samorozładowaniu, akumulator litowo-jonowy V20 jest gotowy do pracy, gdziekolwiek jesteś i dokądkolwiek zaprowadzi Cię praca - i będzie Ci służyć dłużej.  Zintegrowany wskaźnik umożliwia wygodne monitorowanie poziomu naładowania akumulatora.  Część nowego systemu akumulatorowego 18V STANLEY FATMAX V20 - zasilaj wszystkie narzędzia V20 wspólnym, nowym i ulepszonym akumulatorem litowo-jonowym 18V, który pozwoli Ci z łatwością wykonać pracę.|elektronarzedzia
10|https://images.obi.pl/product/PL/932x365/700943_1.jpg|Makita Akumulator Li-Ion BL1840B 4,0 Ah|379.0|1|84|6.2|7.5|11.3|640|Akumulator Li-Ion BL1840B 4,0 Ah marki Makita  Akumulator litowo-jonowy o pojemności 4,0 Ah ze wskaźnikiem naładowania.  Jest to akumulator ogólnego zastosowania o wysokiej mocy do narzędzi współpracujących z akumulatorem Makita LXT o napięciu 18 V. Doskonale sprawdza się w przypadku narzędzi o przeciętnym poborze mocy.  Przy zastosowaniu szybkiej ładowarki czas ładowania wynosi ok. 36 minut.|elektronarzedzia
